100 1000
     1	12000.0 2141200.0
     2	12000.0 2107403.0
     3	12000.0 1840969.0
     4	12000.0 2217151.0
     5	12000.0 2164343.0
     6	12000.0 2158091.0
     7	12000.0 2223692.0
     8	12000.0 2113995.0
     9	12000.0 1669402.0
    10	12000.0 1846084.0
    11	12000.0 1485698.0
    12	12000.0 1628333.0
    13	12000.0 1686024.0
    14	12000.0 2244889.0
    15	12000.0 1948452.0
    16	12000.0 1536462.0
    17	12000.0 1853838.0
    18	12000.0 1986043.0
    19	12000.0 2155053.0
    20	12000.0 1435703.0
    21	12000.0 1740862.0
    22	12000.0 1830706.0
    23	12000.0 1687608.0
    24	12000.0 1666265.0
    25	12000.0 2237235.0
    26	12000.0 1566314.0
    27	12000.0 2061436.0
    28	12000.0 1592113.0
    29	12000.0 2110304.0
    30	12000.0 1479013.0
    31	12000.0 1723130.0
    32	12000.0 1888824.0
    33	12000.0 1559456.0
    34	12000.0 1402362.0
    35	12000.0 1479901.0
    36	12000.0 1459359.0
    37	12000.0 1898083.0
    38	12000.0 1859829.0
    39	12000.0 2013552.0
    40	12000.0 1909519.0
    41	12000.0 1891834.0
    42	12000.0 1544585.0
    43	12000.0 2116415.0
    44	12000.0 2194426.0
    45	12000.0 2042697.0
    46	12000.0 1936576.0
    47	12000.0 1810348.0
    48	12000.0 1714556.0
    49	12000.0 1374042.0
    50	12000.0 1504878.0
    51	12000.0 1843254.0
    52	12000.0 1578148.0
    53	12000.0 1557988.0
    54	12000.0 1655721.0
    55	12000.0 1812125.0
    56	12000.0 2210475.0
    57	12000.0 1396759.0
    58	12000.0 1703038.0
    59	12000.0 1562645.0
    60	12000.0 1444648.0
    61	12000.0 1898165.0
    62	12000.0 1627211.0
    63	12000.0 2012772.0
    64	12000.0 1939489.0
    65	12000.0 1529233.0
    66	12000.0 1935370.0
    67	12000.0 1552478.0
    68	12000.0 1497012.0
    69	12000.0 1444604.0
    70	12000.0 1380954.0
    71	12000.0 1369874.0
    72	12000.0 1940815.0
    73	12000.0 2253906.0
    74	12000.0 1708404.0
    75	12000.0 1849153.0
    76	12000.0 2143143.0
    77	12000.0 1781490.0
    78	12000.0 2228610.0
    79	12000.0 1479404.0
    80	12000.0 1990010.0
    81	12000.0 1866115.0
    82	12000.0 1680386.0
    83	12000.0 1563322.0
