50 50
     1	15000.0 7500.0
     2	15000.0 7500.0
     3	15000.0 7500.0
     4	15000.0 7500.0
     5	15000.0 7500.0
     6	15000.0 7500.0
     7	15000.0 7500.0
     8	15000.0 7500.0
     9	15000.0 7500.0
    10	15000.0 7500.0
    11	15000.0 7500.0
    12	15000.0 7500.0
    13	15000.0 7500.0
    14	15000.0 7500.0
    15	15000.0 7500.0
    16	15000.0 7500.0
    17	15000.0 7500.0
    18	15000.0 7500.0
    19	15000.0 7500.0
    20	15000.0 7500.0
    21	15000.0 7500.0
    22	15000.0 7500.0
    23	15000.0 0.0
    24	15000.0 7500.0
    25	15000.0 7500.0
    26	15000.0 7500.0
    27	15000.0 7500.0
    28	15000.0 7500.0
    29	15000.0 7500.0
    30	15000.0 7500.0
    31	15000.0 7500.0
    32	15000.0 7500.0
    33	15000.0 7500.0
    34	15000.0 7500.0
    35	15000.0 7500.0
    36	15000.0 7500.0
    37	15000.0 7500.0
    38	15000.0 7500.0
    39	15000.0 7500.0
    40	15000.0 7500.0
    41	15000.0 7500.0
    42	15000.0 7500.0
    43	15000.0 7500.0
    44	15000.0 7500.0
    45	15000.0 7500.0
    46	15000.0 7500.0
    47	15000.0 7500.0
    48	15000.0 7500.0
    49	15000.0 7500.0
    50	15000.0 7500.0
     1	146.0
     2	87.0
     3	672.0
     4	1337.0
     5	31.0
     6	559.0
     7	2370.0
     8	1089.0
     9	33.0
    10	32.0
    11	5495.0
    12	904.0
    13	1466.0
    14	143.0
    15	615.0
    16	564.0
    17	226.0
    18	3016.0
    19	253.0
    20	195.0
    21	38.0
    22	807.0
    23	551.0
    24	304.0
    25	814.0
    26	337.0
    27	4368.0
    28	577.0
    29	482.0
    30	495.0
    31	231.0
    32	322.0
    33	685.0
    34	12912.0
    35	325.0
    36	366.0
    37	3671.0
    38	2213.0
    39	705.0
    40	328.0
    41	1681.0
    42	1117.0
    43	275.0
    44	500.0
    45	2241.0
    46	733.0
    47	222.0
    48	49.0
    49	1464.0
    50	222.0
1 1 2609.75000
1 2 2368.57500
1 3 38119.20000
1 4 94158.22500
1 5 1432.20000
1 6 29389.42500
1 7 181956.75000
1 8 70158.82500
1 9 1719.30000
1 10 1038.40000
1 11 282030.87500
1 12 50691.80000
1 13 87703.45000
1 14 8994.70000
1 15 22109.25000
1 16 16807.20000
1 17 10299.95000
1 18 175305.00000
1 19 14104.75000
1 20 4719.00000
1 21 2204.00000
1 22 33087.00000
1 23 29547.37500
1 24 19258.40000
1 25 32600.70000
1 26 19133.17500
1 27 175156.80000
1 28 31417.65000
1 29 22292.50000
1 30 35887.50000
1 31 12035.10000
1 32 16816.45000
1 33 33291.00000
1 34 946126.80000
1 35 11074.37500
1 36 15829.50000
1 37 260549.22500
1 38 137814.57500
1 39 45190.50000
1 40 22574.60000
1 41 80057.62500
1 42 58028.15000
1 43 11687.50000
1 44 19812.50000
1 45 107792.10000
1 46 50320.45000
1 47 13547.55000
1 48 1568.00000
1 49 101089.20000
1 50 7969.80000
2 1 3292.30000
2 2 1148.40000
2 3 28711.20000
2 4 75406.80000
2 5 1277.97500
2 6 21549.45000
2 7 151443.00000
2 8 56137.95000
2 9 1555.12500
2 10 879.20000
2 11 211282.75000
2 12 38013.20000
2 13 68425.55000
2 14 7014.15000
2 15 13806.75000
2 16 14001.30000
2 17 7390.20000
2 18 136474.00000
2 19 10872.67500
2 20 4738.50000
2 21 1718.55000
2 22 23443.35000
2 23 21819.60000
2 24 15154.40000
2 25 22120.45000
2 26 14415.17500
2 27 190444.80000
2 28 23339.65000
2 29 15532.45000
2 30 29205.00000
2 31 8916.60000
2 32 12300.40000
2 33 24043.50000
2 34 772783.20000
2 35 6516.25000
2 36 11730.30000
2 37 211357.82500
2 38 108160.37500
2 39 41683.12500
2 40 17974.40000
2 41 56481.60000
2 42 43758.47500
2 43 10319.37500
2 44 14312.50000
2 45 115691.62500
2 46 46673.77500
2 47 12443.10000
2 48 1572.90000
2 49 81178.80000
2 50 4856.25000
3 1 6739.72500
3 2 3204.86250
3 3 4914.00000
3 4 32372.11250
3 5 1715.46250
3 6 6421.51250
3 7 81972.37500
3 8 33391.46250
3 9 2020.83750
3 10 1459.60000
3 11 141015.43750
3 12 17684.50000
3 13 38207.62500
3 14 1953.73750
3 15 17181.56250
3 16 25640.85000
3 17 7031.42500
3 18 78453.70000
3 19 9452.71250
3 20 8597.06250
3 21 1581.27500
3 22 23170.98750
3 23 12087.56250
3 24 4883.00000
3 25 24063.87500
3 26 4124.03750
3 27 281463.00000
3 28 11056.76250
3 29 8585.62500
3 30 12480.18750
3 31 3727.76250
3 32 4673.02500
3 33 13451.68750
3 34 372672.60000
3 35 9745.93750
3 36 12055.12500
3 37 97602.71250
3 38 60774.51250
3 39 54470.06250
3 40 7146.30000
3 41 38011.61250
3 42 39723.31250
3 43 16111.56250
3 44 16981.25000
3 45 168663.26250
3 46 57109.86250
3 47 15576.07500
3 48 2542.48750
3 49 34056.30000
3 50 7095.67500
4 1 8933.37500
4 2 4509.86250
4 3 17161.20000
4 4 11548.33750
4 5 1883.63750
4 6 15994.38750
4 7 45118.87500
4 8 20160.11250
4 9 2186.66250
4 10 1709.20000
4 11 156813.56250
4 12 20961.50000
4 13 29484.92500
4 14 3076.28750
4 15 27575.06250
4 16 30561.75000
4 17 8472.17500
4 18 73100.30000
4 19 10186.41250
4 20 11897.43750
4 21 1691.47500
4 22 37575.93750
4 23 14277.78750
4 24 8660.20000
4 25 31410.22500
4 26 7502.46250
4 27 355282.20000
4 28 15023.63750
4 29 15815.62500
4 30 18630.56250
4 31 7937.73750
4 32 8907.32500
4 33 25678.93750
4 34 171891.00000
4 35 14620.93750
4 36 14909.92500
4 37 40426.88750
4 38 37261.38750
4 39 59493.18750
4 40 4104.10000
4 41 53182.63750
4 42 42962.61250
4 43 18256.56250
4 44 25818.75000
4 45 190737.11250
4 46 60151.81250
4 47 16502.92500
4 48 3371.81250
4 49 14036.10000
4 50 9693.07500
5 1 6803.60000
5 2 4028.10000
5 3 44553.60000
5 4 94124.80000
5 5 566.52500
5 6 35203.02500
5 7 179349.75000
5 8 68960.92500
5 9 797.77500
5 10 1024.80000
5 11 275986.37500
5 12 51754.00000
5 13 86090.85000
5 14 10270.97500
5 15 34163.25000
5 16 19556.70000
5 17 10011.80000
5 18 171987.40000
5 19 10309.75000
5 20 10320.37500
5 21 1302.45000
5 22 50155.05000
5 23 30208.57500
5 24 22473.20000
5 25 36263.70000
5 26 21736.50000
5 27 238383.60000
5 28 33379.45000
5 29 27305.30000
5 30 41122.12500
5 31 15528.97500
5 32 19038.25000
5 33 45466.87500
5 34 941607.60000
5 35 17265.62500
5 36 14887.05000
5 37 259264.37500
5 38 137095.35000
5 39 29821.50000
5 40 23542.20000
5 41 85773.02500
5 42 45043.02500
5 43 9625.00000
5 44 30875.00000
